Distance;Accuracy;Type
euclidean;0.9410496387494458;TRAIN
euclidean;0.9265505659833089;TEST
manhattan;0.9609398140500378;TRAIN
manhattan;0.9503284994523735;TEST
chebyshev;0.9270171189949348;TRAIN
chebyshev;0.9104550244151636;TEST
minkowski;0.9410496387494458;TRAIN
minkowski;0.9265505659833089;TEST
