Epocas;Accuracy;Tipo
10;0.8966424939692311;ENTRENAMIENTO
10;0.8967612865784134;TEST
20;0.9191688388158019;ENTRENAMIENTO
20;0.9186041506502809;TEST
50;0.9307388380500392;ENTRENAMIENTO
50;0.9300817465367757;TEST
100;0.9355488484016709;ENTRENAMIENTO
100;0.9345991945363498;TEST
150;0.9372458722069116;ENTRENAMIENTO
150;0.9361390822650695;TEST
170;0.9374458722069116;ENTRENAMIENTO
170;0.9351390822650695;TEST
200;0.9375458722069116;ENTRENAMIENTO
200;0.9311390822650695;TEST
