Epoach;Accuracy;Tipo
10;0.9015759017779665;ENTRENAMIENTO
10;0.901636474923469;TEST
20;0.9122684069030715;ENTRENAMIENTO
20;0.9122112740304612;TEST
50;0.9270950974410225;ENTRENAMIENTO
50;0.9266834442447079;TEST
100;0.9305935276498698;ENTRENAMIENTO
100;0.9301430708841592;TEST
150;0.9326103667278627;ENTRENAMIENTO
150;0.9321105177701302;TEST
200;0.9327217291461539;ENTRENAMIENTO
200;0.9292842182943928;TEST
