Distance;Accuracy;Type
EUCLIDEA;0.9526474147318955;TRAIN
EUCLIDEA;0.9303815421952522;TEST
MANHATTAN;0.9692000379462662;TRAIN
MANHATTAN;0.952822294913212;TEST
CHEBYSHEV;0.9404224045272649;TRAIN
CHEBYSHEV;0.9140560417194179;TEST
MINKOWSKI;0.9526474147318955;TRAIN
MINKOWSKI;0.9283815421952522;TEST
