Model;CV;Precision;Tipo
ENSEMBLE;7;0.9999015805780627;ENTRENAMIENTO
ENSEMBLE;7;0.9727285115661091;VALIDACION
ENSEMBLE;7;0.991730317173713;TEST
ENSEMBLE;8;0.9999186148628187;ENTRENAMIENTO
ENSEMBLE;8;0.9922681202623286;VALIDACION
ENSEMBLE;8;0.9913828228801145;TEST
ENSEMBLE;9;0.9998940100539034;ENTRENAMIENTO
ENSEMBLE;9;0.9906498594668257;VALIDACION
ENSEMBLE;9;0.9915259087657139;TEST
ENSEMBLE;10;0.9999337562836896;ENTRENAMIENTO
ENSEMBLE;10;0.973119836470488;VALIDACION
ENSEMBLE;10;0.99249344189691;TEST
