Modelo;CV;Precision;Tipo
RRNN;8;0.9381123026969838;ENTRENAMIENTO
RRNN;8;0.936721141673436;ENTRENAMIENTO
RRNN;8;0.9359068775253762;TEST
RRNN;8;0.9356156244335377;TEST
RRNN;9;0.941490732228811;ENTRENAMIENTO
RRNN;9;0.9400995712052632;ENTRENAMIENTO
RRNN;9;0.9391501575989631;TEST
RRNN;9;0.9388589045071247;TEST
RRNN;10;0.941220079330743;ENTRENAMIENTO
RRNN;10;0.9398289183071953;ENTRENAMIENTO
RRNN;10;0.9390956486901634;TEST
RRNN;10;0.938804395598325;TEST
ENSEMBLE;1;1.0004812582646883;ENTRENAMIENTO
ENSEMBLE;1;0.9993597565152591;ENTRENAMIENTO
ENSEMBLE;1;0.9931966628652483;TEST
ENSEMBLE;1;0.9908771967061755;TEST
ENSEMBLE;2;1.0004642241339683;ENTRENAMIENTO
ENSEMBLE;2;0.9993427223845391;ENTRENAMIENTO
ENSEMBLE;2;0.993012695298049;TEST
ENSEMBLE;2;0.9906932291389762;TEST
ENSEMBLE;3;0.9995879127424881;ENTRENAMIENTO
ENSEMBLE;3;0.9984664109930589;ENTRENAMIENTO
ENSEMBLE;3;0.9953838328308395;TEST
ENSEMBLE;3;0.9930643666717667;TEST
ENSEMBLE;4;1.0004263705101464;ENTRENAMIENTO
ENSEMBLE;4;0.9993048687607171;ENTRENAMIENTO
ENSEMBLE;4;0.9928627957988496;TEST
ENSEMBLE;4;0.9905433296397768;TEST
ENSEMBLE;5;0.9993645763619381;ENTRENAMIENTO
ENSEMBLE;5;0.9982430746125088;ENTRENAMIENTO
ENSEMBLE;5;0.9959902444412371;TEST
ENSEMBLE;5;0.9936707782821642;TEST
ENSEMBLE;6;0.9989160109196469;ENTRENAMIENTO
ENSEMBLE;6;0.9977945091702176;ENTRENAMIENTO
ENSEMBLE;6;0.992501674278051;TEST
ENSEMBLE;6;0.9901822081189782;TEST
ENSEMBLE;7;1.0004623314527772;ENTRENAMIENTO
ENSEMBLE;7;0.999340829703348;ENTRENAMIENTO
ENSEMBLE;7;0.9928900502532494;TEST
ENSEMBLE;7;0.9905705840941765;TEST
ENSEMBLE;8;1.0004793657375333;ENTRENAMIENTO
