LearningRate;Tipo;Accuracy
0.00001;CONSTANTE;0.8898306817020407
0.00001;ADAPTATIVO;0.8898306817020407
0.0001;CONSTANTE;0.914741253023541
0.0001;ADAPTATIVO;0.914741253023541
0.001;CONSTANTE;0.9328109562906688
0.001;ADAPTATIVO;0.9328109562906688
0.01;CONSTANTE;0.7600381562361599
0.01;ADAPTATIVO;0.7600381562361599
0.1;CONSTANTE;0.7600381562361599
0.1;ADAPTATIVO;0.7600381562361599
1.0;CONSTANTE;0.7600381562361599
1.0;ADAPTATIVO;0.7600381562361599
